machine_id,type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7
0,14.49,18.63,13.00,17.25,11.43,10.84,6.06,19.08
1,15.60,7.04,13.47,8.33,5.84,12.44,6.01,16.75
2,9.05,11.34,5.02,6.33,7.89,15.16,12.20,11.07
3,6.45,14.75,5.96,7.54,12.12,18.74,15.67,9.03
4,6.67,17.54,9.38,12.01,15.82,10.33,8.39,10.90
5,14.02,11.15,11.39,16.38,7.99,11.12,13.67,15.70
6,13.58,19.00,13.81,7.51,11.30,6.68,15.57,11.43
7,12.27,15.12,10.55,5.82,6.88,7.41,6.83,7.88
8,8.75,5.64,6.97,13.72,17.10,16.26,17.23,8.00
9,19.92,12.21,10.02,6.52,12.70,16.94,8.94,6.43
10,11.05,12.98,15.50,6.20,15.64,11.48,11.75,11.37
11,15.37,15.21,8.59,19.07,17.04,11.59,13.41,14.64
